icd_decimal,icd_short,overlap_ufhealth,request_idr
F14.929,F14929,0,yes
F14.94,F1494,0,yes
F14.981,F14981,0,yes
F14.982,F14982,0,yes
F14.988,F14988,0,yes
F14.99,F1499,0,yes
F15.12,F1512,0,yes
F15.181,F15181,0,yes
F15.182,F15182,0,yes
F15.22,F1522,0,yes
F15.222,F15222,0,yes
F15.24,F1524,0,yes
F15.281,F15281,0,yes
F15.282,F15282,0,yes
F15.288,F15288,0,yes
F15.90,F1590,0,yes
F15.92,F1592,0,yes
F15.920,F15920,0,yes
F15.921,F15921,0,yes
F15.922,F15922,0,yes
F15.929,F15929,0,yes
F15.93,F1593,0,yes
F15.94,F1594,0,yes
F15.981,F15981,0,yes
F15.982,F15982,0,yes
F15.988,F15988,0,yes
F15.99,F1599,0,yes
F16.12,F1612,0,yes
F16.121,F16121,0,yes
F16.122,F16122,0,yes
F16.14,F1614,0,yes
F16.183,F16183,0,yes
F16.188,F16188,0,yes
F16.19,F1619,0,yes
F16.22,F1622,0,yes
F16.220,F16220,0,yes
F16.221,F16221,0,yes
F16.229,F16229,0,yes
F16.24,F1624,0,yes
F16.283,F16283,0,yes
F16.29,F1629,0,yes
F16.90,F1690,0,yes
F16.92,F1692,0,yes
F16.920,F16920,0,yes
F16.921,F16921,0,yes
F16.929,F16929,0,yes
F16.94,F1694,0,yes
F16.983,F16983,0,yes
F16.988,F16988,0,yes
F16.99,F1699,0,yes
F18.10,F1810,0,yes
F18.12,F1812,0,yes
F18.120,F18120,0,yes
F18.121,F18121,0,yes
F18.129,F18129,0,yes
F18.14,F1814,0,yes
F18.17,F1817,0,yes
F18.188,F18188,0,yes
F18.19,F1819,0,yes
F18.20,F1820,0,yes
F18.22,F1822,0,yes
F18.220,F18220,0,yes
F18.221,F18221,0,yes
F18.229,F18229,0,yes
F18.24,F1824,0,yes
F18.27,F1827,0,yes
F18.288,F18288,0,yes
F18.29,F1829,0,yes
F18.90,F1890,0,yes
F18.92,F1892,0,yes
F18.920,F18920,0,yes
F18.921,F18921,0,yes
F18.929,F18929,0,yes
F18.94,F1894,0,yes
F18.97,F1897,0,yes
F18.988,F18988,0,yes
F18.99,F1899,0,yes
F17.208,F17208,0,yes
F17.223,F17223,0,yes
F17.228,F17228,0,yes
F17.229,F17229,0,yes
F17.293,F17293,0,yes
F17.298,F17298,0,yes
F17.299,F17299,0,yes
O99.33,O9933,0,yes
F19.12,F1912,0,yes
F19.122,F19122,0,yes
F19.16,F1916,0,yes
F19.17,F1917,0,yes
F19.181,F19181,0,yes
F19.182,F19182,0,yes
F19.22,F1922,0,yes
F19.220,F19220,0,yes
F19.221,F19221,0,yes
F19.222,F19222,0,yes
F19.23,F1923,0,yes
F19.231,F19231,0,yes
F19.232,F19232,0,yes
F19.26,F1926,0,yes
F19.27,F1927,0,yes
F19.281,F19281,0,yes
F19.282,F19282,0,yes
F19.90,F1990,0,yes
F19.92,F1992,0,yes
F19.920,F19920,0,yes
F19.921,F19921,0,yes
F19.922,F19922,0,yes
F19.929,F19929,0,yes
F19.93,F1993,0,yes
F19.930,F19930,0,yes
F19.931,F19931,0,yes
F19.932,F19932,0,yes
F19.939,F19939,0,yes
F19.94,F1994,0,yes
F19.96,F1996,0,yes
F19.97,F1997,0,yes
F19.981,F19981,0,yes
F19.982,F19982,0,yes
F19.988,F19988,0,yes
F19.99,F1999,0,yes
O35.5,O355,0,yes
O35.5XX2,O355XX2,0,yes
O35.5XX4,O355XX4,0,yes
O35.5XX5,O355XX5,0,yes
O99.32,O9932,0,yes
F06.4,F064,0,yes
F31.3,F313,0,yes
F31.6,F316,0,yes
F33,F33,0,yes
F33.4,F334,0,yes
F40,F40,0,yes
F40.0,F400,0,yes
F40.00,F4000,0,yes
F40.01,F4001,0,yes
F40.02,F4002,0,yes
F40.1,F401,0,yes
F40.10,F4010,0,yes
F40.11,F4011,0,yes
F40.2,F402,0,yes
F40.21,F4021,0,yes
F40.210,F40210,0,yes
F40.218,F40218,0,yes
F40.22,F4022,0,yes
F40.220,F40220,0,yes
F40.228,F40228,0,yes
F40.23,F4023,0,yes
F40.230,F40230,0,yes
F40.231,F40231,0,yes
F40.232,F40232,0,yes
F40.233,F40233,0,yes
F40.24,F4024,0,yes
F40.240,F40240,0,yes
F40.241,F40241,0,yes
F40.242,F40242,0,yes
F40.243,F40243,0,yes
F40.248,F40248,0,yes
F40.29,F4029,0,yes
F40.290,F40290,0,yes
F40.291,F40291,0,yes
F40.298,F40298,0,yes
F40.8,F408,0,yes
F40.9,F409,0,yes
F41,F41,0,yes
F41.0,F410,0,yes
F41.1,F411,0,yes
F41.3,F413,0,yes
F41.8,F418,0,yes
F41.9,F419,0,yes
F42,F42,0,yes
F42.2,F422,0,yes
F42.3,F423,0,yes
F42.4,F424,0,yes
F42.8,F428,0,yes
